ToryCorruption 1006419421244678144.hashtags   654.66666666666667051610 1.00000000000000000000 .00152749490835030549 1 1 6 3928 
"PartnerTrump,GOPTraitors" 1006967125754331136.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
USS 1007269733316677639.hashtags   196.40000000000000038337 1.00000000000000000000 .00509164969450101832 6 6 20 3928 
USSmess 1007269733316677639.hashtags   436.44444444444444986362 .33333333333333333333 .00076374745417515274 2 6 3 3928 
USS 1007269733316677639.hashtags   196.40000000000000038337 1.00000000000000000000 .00509164969450101832 6 6 20 3928 
USS 1007269733316677639.hashtags   196.40000000000000038337 1.00000000000000000000 .00509164969450101832 6 6 20 3928 
USS 1007269733316677639.hashtags   196.40000000000000038337 1.00000000000000000000 .00509164969450101832 6 6 20 3928 
USSmess 1007269733316677639.hashtags   436.44444444444444986362 .33333333333333333333 .00076374745417515274 2 6 3 3928 
"IStandWithUkraine,StandWithUkriane,ZelenskyIsABadRRRRRR" 1007560450748354560.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
"Vaccinate,Ventilate,useHEPA,monitorCO2,MaskUpN95" 1008340728114601984.hashtags   1964.00000000000005012128 .50000000000000000000 .00025458248472505091 1 2 1 3928 
"Omicron,BA1,BA2" 1008340728114601984.hashtags   1964.00000000000005012128 .50000000000000000000 .00025458248472505091 1 2 1 3928 
OpRussia 1009546724.hashtags   1309.33333333333334960398 1.00000000000000000000 .00076374745417515274 1 1 3 3928 
RealityWinner 1009577803304656896.hashtags   392.80000000000000076674 .50000000000000000000 .00127291242362525458 1 2 5 3928 
ConfirmJackson 1009577803304656896.hashtags   982.00000000000000577416 .50000000000000000000 .00050916496945010183 1 2 2 3928 
BenFrazier 1009892540114403328.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
"LongList,fundraisingbc007MEcfs" 1009900083402461185.hashtags   1309.33333333333336673442 .33333333333333333333 .00025458248472505091 1 3 1 3928 
LongCovid 1009900083402461185.hashtags   16.57383966244725738648 .66666666666666666666 .04022403258655804480 2 3 158 3928 
LongCovid 1009900083402461185.hashtags   16.57383966244725738648 .66666666666666666666 .04022403258655804480 2 3 158 3928 
LongCovid 1010320666648645632.hashtags   24.86075949367088607997 1.00000000000000000000 .04022403258655804480 2 2 158 3928 
LongCovid 1010320666648645632.hashtags   24.86075949367088607997 1.00000000000000000000 .04022403258655804480 2 2 158 3928 
"Partygate,RussiaReport,PutinsBrexit" 1010384732759252997.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
"Covid19,COVIDisAirborne" 1010593116.hashtags   982.00000000000002506064 .25000000000000000000 .00025458248472505091 1 4 1 3928 
COVID19 1010593116.hashtags   4.81372549019607843187 .25000000000000000000 .05193482688391038696 1 4 204 3928 
VotesOverViruses 1010593116.hashtags   982.00000000000002506064 .25000000000000000000 .00025458248472505091 1 4 1 3928 
Covid19 1010593116.hashtags   65.46666666666666670873 .50000000000000000000 .00763747454175152749 2 4 30 3928 
"SOS,SaveOurUUUUUU,SaveOurStats,WomenWontWheesht" 1011580472709787648.hashtags   3928.00000000000010024256 1.00000000000000000000 .00025458248472505091 1 1 1 3928 
coverup 1012157576.hashtags   1964.00000000000001154832 1.00000000000000000000 .00050916496945010183 1 1 2 3928 
